pos,generation,rank,score,id
"[(897.0, 324.0), (796.0, 310.0), (758.0, 405.0), (938.0, 646.0), (724.0, 631.0), (875.0, 407.0), (761.0, 772.0), (494.0, 898.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (276.0, 666.0), (45.0, 549.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (951.0, 209.0), (684.0, 273.0), (501.0, 287.0), (549.0, 329.0), (730.0, 742.0), (273.0, 105.0), (437.0, 601.0), (436.0, 619.0), (528.0, 794.0), (189.0, 739.0), (278.0, 434.0), (213.0, 639.0), (116.0, 69.0), (602.0, 68.0), (708.0, 99.0), (929.0, 389.0), (774.0, 130.0), (220.0, 307.0), (101.0, 482.0), (508.0, 31.0), (444.0, 428.0), (371.0, 429.0), (345.0, 560.0), (330.0, 410.0), (328.0, 489.0), (628.0, 311.0), (643.0, 404.0)]",955,1,14761.718836282318,57309
"[(908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (951.0, 209.0), (897.0, 324.0), (938.0, 646.0), (724.0, 631.0), (875.0, 407.0), (761.0, 772.0), (276.0, 666.0), (101.0, 482.0), (437.0, 601.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (45.0, 549.0), (213.0, 639.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (494.0, 898.0), (964.0, 726.0), (730.0, 742.0), (774.0, 130.0), (708.0, 99.0), (189.0, 739.0), (643.0, 404.0), (444.0, 428.0), (436.0, 619.0), (549.0, 329.0), (602.0, 68.0), (328.0, 489.0), (758.0, 405.0), (796.0, 310.0), (929.0, 389.0), (528.0, 794.0), (345.0, 560.0), (501.0, 287.0), (628.0, 311.0), (684.0, 273.0), (220.0, 307.0), (273.0, 105.0), (116.0, 69.0), (508.0, 31.0), (330.0, 410.0), (371.0, 429.0), (278.0, 434.0)]",901,2,15383.59180135683,54066
"[(758.0, 405.0), (938.0, 646.0), (724.0, 631.0), (875.0, 407.0), (761.0, 772.0), (494.0, 898.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (276.0, 666.0), (528.0, 794.0), (189.0, 739.0), (45.0, 549.0), (213.0, 639.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (897.0, 324.0), (796.0, 310.0), (116.0, 69.0), (220.0, 307.0), (437.0, 601.0), (602.0, 68.0), (628.0, 311.0), (951.0, 209.0), (774.0, 130.0), (444.0, 428.0), (273.0, 105.0), (328.0, 489.0), (330.0, 410.0), (371.0, 429.0), (278.0, 434.0), (684.0, 273.0), (929.0, 389.0), (345.0, 560.0), (101.0, 482.0), (508.0, 31.0), (549.0, 329.0), (708.0, 99.0), (643.0, 404.0), (730.0, 742.0), (501.0, 287.0), (436.0, 619.0)]",1027,3,15424.056561572315,61609
"[(213.0, 639.0), (345.0, 560.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (897.0, 324.0), (796.0, 310.0), (758.0, 405.0), (938.0, 646.0), (724.0, 631.0), (875.0, 407.0), (761.0, 772.0), (494.0, 898.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (276.0, 666.0), (101.0, 482.0), (328.0, 489.0), (444.0, 428.0), (45.0, 549.0), (220.0, 307.0), (330.0, 410.0), (189.0, 739.0), (774.0, 130.0), (273.0, 105.0), (508.0, 31.0), (116.0, 69.0), (708.0, 99.0), (436.0, 619.0), (437.0, 601.0), (730.0, 742.0), (628.0, 311.0), (951.0, 209.0), (929.0, 389.0), (643.0, 404.0), (684.0, 273.0), (501.0, 287.0), (528.0, 794.0), (602.0, 68.0), (278.0, 434.0), (549.0, 329.0), (371.0, 429.0)]",787,4,15454.395920757257,47202
"[(897.0, 324.0), (796.0, 310.0), (758.0, 405.0), (938.0, 646.0), (724.0, 631.0), (875.0, 407.0), (761.0, 772.0), (494.0, 898.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (45.0, 549.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (951.0, 209.0), (708.0, 99.0), (774.0, 130.0), (628.0, 311.0), (444.0, 428.0), (220.0, 307.0), (273.0, 105.0), (328.0, 489.0), (730.0, 742.0), (276.0, 666.0), (508.0, 31.0), (602.0, 68.0), (278.0, 434.0), (684.0, 273.0), (643.0, 404.0), (528.0, 794.0), (436.0, 619.0), (437.0, 601.0), (330.0, 410.0), (213.0, 639.0), (116.0, 69.0), (929.0, 389.0), (501.0, 287.0), (345.0, 560.0), (371.0, 429.0), (101.0, 482.0), (189.0, 739.0), (549.0, 329.0)]",556,5,15553.792322931899,33350
"[(724.0, 631.0), (875.0, 407.0), (761.0, 772.0), (494.0, 898.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (276.0, 666.0), (101.0, 482.0), (328.0, 489.0), (444.0, 428.0), (45.0, 549.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (951.0, 209.0), (929.0, 389.0), (708.0, 99.0), (330.0, 410.0), (938.0, 646.0), (897.0, 324.0), (730.0, 742.0), (501.0, 287.0), (796.0, 310.0), (628.0, 311.0), (213.0, 639.0), (189.0, 739.0), (371.0, 429.0), (437.0, 601.0), (345.0, 560.0), (436.0, 619.0), (758.0, 405.0), (549.0, 329.0), (220.0, 307.0), (508.0, 31.0), (602.0, 68.0), (643.0, 404.0), (774.0, 130.0), (684.0, 273.0), (528.0, 794.0), (278.0, 434.0), (116.0, 69.0), (273.0, 105.0)]",1128,6,15639.085083937172,67691
"[(897.0, 324.0), (938.0, 646.0), (724.0, 631.0), (875.0, 407.0), (761.0, 772.0), (494.0, 898.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (276.0, 666.0), (528.0, 794.0), (189.0, 739.0), (45.0, 549.0), (213.0, 639.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (508.0, 31.0), (796.0, 310.0), (730.0, 742.0), (444.0, 428.0), (437.0, 601.0), (330.0, 410.0), (328.0, 489.0), (929.0, 389.0), (708.0, 99.0), (220.0, 307.0), (273.0, 105.0), (101.0, 482.0), (278.0, 434.0), (116.0, 69.0), (643.0, 404.0), (501.0, 287.0), (684.0, 273.0), (774.0, 130.0), (758.0, 405.0), (628.0, 311.0), (371.0, 429.0), (602.0, 68.0), (549.0, 329.0), (951.0, 209.0), (436.0, 619.0), (345.0, 560.0)]",1122,7,15808.421527864184,67302
"[(704.0, 995.0), (494.0, 898.0), (3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (45.0, 549.0), (213.0, 639.0), (345.0, 560.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (898.0, 898.0), (921.0, 964.0), (897.0, 324.0), (796.0, 310.0), (758.0, 405.0), (938.0, 646.0), (684.0, 273.0), (328.0, 489.0), (437.0, 601.0), (528.0, 794.0), (708.0, 99.0), (501.0, 287.0), (951.0, 209.0), (929.0, 389.0), (875.0, 407.0), (628.0, 311.0), (761.0, 772.0), (508.0, 31.0), (602.0, 68.0), (549.0, 329.0), (774.0, 130.0), (371.0, 429.0), (862.0, 361.0), (730.0, 742.0), (101.0, 482.0), (444.0, 428.0), (643.0, 404.0), (273.0, 105.0), (116.0, 69.0), (330.0, 410.0), (189.0, 739.0), (276.0, 666.0), (278.0, 434.0), (220.0, 307.0), (436.0, 619.0), (724.0, 631.0)]",421,8,15821.877243226147,25260
"[(573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (901.0, 639.0), (704.0, 995.0), (898.0, 898.0), (921.0, 964.0), (862.0, 361.0), (951.0, 209.0), (708.0, 99.0), (774.0, 130.0), (929.0, 389.0), (508.0, 31.0), (116.0, 69.0), (549.0, 329.0), (273.0, 105.0), (278.0, 434.0), (330.0, 410.0), (371.0, 429.0), (436.0, 619.0), (437.0, 601.0), (220.0, 307.0), (501.0, 287.0), (643.0, 404.0), (796.0, 310.0), (875.0, 407.0), (602.0, 68.0), (897.0, 324.0), (684.0, 273.0), (493.0, 970.0), (758.0, 405.0), (101.0, 482.0), (938.0, 646.0), (761.0, 772.0), (628.0, 311.0), (328.0, 489.0), (45.0, 549.0), (2.0, 897.0), (3.0, 517.0), (98.0, 711.0), (494.0, 898.0), (724.0, 631.0), (528.0, 794.0), (730.0, 742.0), (444.0, 428.0), (276.0, 666.0), (189.0, 739.0), (345.0, 560.0), (213.0, 639.0)]",1017,9,15835.84351031951,61060
"[(3.0, 517.0), (98.0, 711.0), (2.0, 897.0), (45.0, 549.0), (213.0, 639.0), (345.0, 560.0), (328.0, 489.0), (493.0, 970.0), (573.0, 903.0), (837.0, 787.0), (964.0, 726.0), (908.0, 534.0), (898.0, 898.0), (921.0, 964.0), (897.0, 324.0), (796.0, 310.0), (724.0, 631.0), (875.0, 407.0), (761.0, 772.0), (704.0, 995.0), (494.0, 898.0), (501.0, 287.0), (628.0, 311.0), (774.0, 130.0), (602.0, 68.0), (708.0, 99.0), (929.0, 389.0), (862.0, 361.0), (643.0, 404.0), (101.0, 482.0), (371.0, 429.0), (684.0, 273.0), (220.0, 307.0), (278.0, 434.0), (116.0, 69.0), (951.0, 209.0), (189.0, 739.0), (330.0, 410.0), (437.0, 601.0), (273.0, 105.0), (276.0, 666.0), (758.0, 405.0), (901.0, 639.0), (938.0, 646.0), (730.0, 742.0), (528.0, 794.0), (444.0, 428.0), (508.0, 31.0), (549.0, 329.0), (436.0, 619.0)]",481,10,15913.050351485434,28883
