pos,generation,rank,score
"[(730.0, 742.0), (573.0, 903.0), (493.0, 970.0), (444.0, 428.0), (273.0, 105.0), (371.0, 429.0), (328.0, 489.0), (278.0, 434.0), (345.0, 560.0), (494.0, 898.0), (761.0, 772.0), (704.0, 995.0), (116.0, 69.0), (220.0, 307.0), (2.0, 897.0), (101.0, 482.0), (3.0, 517.0), (213.0, 639.0), (758.0, 405.0), (897.0, 324.0), (528.0, 794.0), (549.0, 329.0), (684.0, 273.0), (708.0, 99.0), (437.0, 601.0), (602.0, 68.0), (796.0, 310.0), (508.0, 31.0), (929.0, 389.0), (724.0, 631.0), (901.0, 639.0), (501.0, 287.0), (45.0, 549.0), (189.0, 739.0), (276.0, 666.0), (875.0, 407.0), (837.0, 787.0), (628.0, 311.0), (330.0, 410.0), (436.0, 619.0), (964.0, 726.0), (862.0, 361.0), (938.0, 646.0), (643.0, 404.0), (908.0, 534.0), (951.0, 209.0), (774.0, 130.0), (898.0, 898.0), (921.0, 964.0), (98.0, 711.0)]",36,1,18968.825520496677
"[(897.0, 324.0), (837.0, 787.0), (898.0, 898.0), (101.0, 482.0), (330.0, 410.0), (276.0, 666.0), (189.0, 739.0), (528.0, 794.0), (2.0, 897.0), (98.0, 711.0), (45.0, 549.0), (862.0, 361.0), (908.0, 534.0), (951.0, 209.0), (704.0, 995.0), (730.0, 742.0), (761.0, 772.0), (116.0, 69.0), (220.0, 307.0), (3.0, 517.0), (213.0, 639.0), (929.0, 389.0), (796.0, 310.0), (964.0, 726.0), (921.0, 964.0), (875.0, 407.0), (628.0, 311.0), (901.0, 639.0), (938.0, 646.0), (273.0, 105.0), (345.0, 560.0), (493.0, 970.0), (371.0, 429.0), (494.0, 898.0), (724.0, 631.0), (643.0, 404.0), (328.0, 489.0), (602.0, 68.0), (278.0, 434.0), (573.0, 903.0), (684.0, 273.0), (774.0, 130.0), (758.0, 405.0), (444.0, 428.0), (501.0, 287.0), (549.0, 329.0), (708.0, 99.0), (508.0, 31.0), (436.0, 619.0), (437.0, 601.0)]",49,2,19011.634418017074
"[(704.0, 995.0), (493.0, 970.0), (929.0, 389.0), (862.0, 361.0), (549.0, 329.0), (444.0, 428.0), (708.0, 99.0), (901.0, 639.0), (908.0, 534.0), (98.0, 711.0), (213.0, 639.0), (45.0, 549.0), (345.0, 560.0), (276.0, 666.0), (189.0, 739.0), (2.0, 897.0), (3.0, 517.0), (938.0, 646.0), (730.0, 742.0), (573.0, 903.0), (328.0, 489.0), (643.0, 404.0), (724.0, 631.0), (875.0, 407.0), (684.0, 273.0), (101.0, 482.0), (116.0, 69.0), (508.0, 31.0), (273.0, 105.0), (371.0, 429.0), (774.0, 130.0), (220.0, 307.0), (436.0, 619.0), (602.0, 68.0), (951.0, 209.0), (898.0, 898.0), (964.0, 726.0), (528.0, 794.0), (837.0, 787.0), (761.0, 772.0), (437.0, 601.0), (897.0, 324.0), (921.0, 964.0), (796.0, 310.0), (758.0, 405.0), (278.0, 434.0), (628.0, 311.0), (494.0, 898.0), (501.0, 287.0), (330.0, 410.0)]",40,3,19285.46008150133
"[(493.0, 970.0), (573.0, 903.0), (929.0, 389.0), (45.0, 549.0), (101.0, 482.0), (3.0, 517.0), (2.0, 897.0), (276.0, 666.0), (901.0, 639.0), (371.0, 429.0), (951.0, 209.0), (643.0, 404.0), (273.0, 105.0), (330.0, 410.0), (508.0, 31.0), (220.0, 307.0), (444.0, 428.0), (938.0, 646.0), (328.0, 489.0), (116.0, 69.0), (602.0, 68.0), (213.0, 639.0), (494.0, 898.0), (704.0, 995.0), (436.0, 619.0), (724.0, 631.0), (684.0, 273.0), (501.0, 287.0), (549.0, 329.0), (758.0, 405.0), (964.0, 726.0), (921.0, 964.0), (898.0, 898.0), (774.0, 130.0), (897.0, 324.0), (908.0, 534.0), (708.0, 99.0), (628.0, 311.0), (862.0, 361.0), (837.0, 787.0), (528.0, 794.0), (98.0, 711.0), (875.0, 407.0), (796.0, 310.0), (278.0, 434.0), (437.0, 601.0), (189.0, 739.0), (761.0, 772.0), (730.0, 742.0), (345.0, 560.0)]",45,4,19321.264983368506
"[(704.0, 995.0), (730.0, 742.0), (761.0, 772.0), (897.0, 324.0), (758.0, 405.0), (628.0, 311.0), (708.0, 99.0), (796.0, 310.0), (774.0, 130.0), (938.0, 646.0), (444.0, 428.0), (276.0, 666.0), (573.0, 903.0), (875.0, 407.0), (508.0, 31.0), (116.0, 69.0), (501.0, 287.0), (437.0, 601.0), (273.0, 105.0), (213.0, 639.0), (220.0, 307.0), (549.0, 329.0), (921.0, 964.0), (371.0, 429.0), (278.0, 434.0), (951.0, 209.0), (528.0, 794.0), (328.0, 489.0), (345.0, 560.0), (602.0, 68.0), (684.0, 273.0), (724.0, 631.0), (908.0, 534.0), (898.0, 898.0), (964.0, 726.0), (837.0, 787.0), (929.0, 389.0), (643.0, 404.0), (45.0, 549.0), (2.0, 897.0), (493.0, 970.0), (901.0, 639.0), (436.0, 619.0), (101.0, 482.0), (3.0, 517.0), (98.0, 711.0), (189.0, 739.0), (330.0, 410.0), (494.0, 898.0), (862.0, 361.0)]",45,5,19331.806370870112
"[(921.0, 964.0), (761.0, 772.0), (929.0, 389.0), (908.0, 534.0), (875.0, 407.0), (897.0, 324.0), (837.0, 787.0), (898.0, 898.0), (101.0, 482.0), (330.0, 410.0), (276.0, 666.0), (189.0, 739.0), (528.0, 794.0), (2.0, 897.0), (98.0, 711.0), (45.0, 549.0), (862.0, 361.0), (501.0, 287.0), (758.0, 405.0), (964.0, 726.0), (3.0, 517.0), (273.0, 105.0), (774.0, 130.0), (708.0, 99.0), (213.0, 639.0), (371.0, 429.0), (116.0, 69.0), (549.0, 329.0), (796.0, 310.0), (684.0, 273.0), (345.0, 560.0), (444.0, 428.0), (508.0, 31.0), (278.0, 434.0), (328.0, 489.0), (951.0, 209.0), (704.0, 995.0), (628.0, 311.0), (938.0, 646.0), (901.0, 639.0), (220.0, 307.0), (602.0, 68.0), (573.0, 903.0), (437.0, 601.0), (436.0, 619.0), (494.0, 898.0), (493.0, 970.0), (730.0, 742.0), (643.0, 404.0), (724.0, 631.0)]",37,6,19421.3933179059
"[(628.0, 311.0), (875.0, 407.0), (508.0, 31.0), (774.0, 130.0), (796.0, 310.0), (724.0, 631.0), (921.0, 964.0), (704.0, 995.0), (493.0, 970.0), (929.0, 389.0), (862.0, 361.0), (549.0, 329.0), (371.0, 429.0), (328.0, 489.0), (278.0, 434.0), (345.0, 560.0), (494.0, 898.0), (330.0, 410.0), (276.0, 666.0), (116.0, 69.0), (220.0, 307.0), (2.0, 897.0), (101.0, 482.0), (3.0, 517.0), (213.0, 639.0), (437.0, 601.0), (602.0, 68.0), (951.0, 209.0), (964.0, 726.0), (643.0, 404.0), (444.0, 428.0), (501.0, 287.0), (908.0, 534.0), (528.0, 794.0), (189.0, 739.0), (273.0, 105.0), (730.0, 742.0), (761.0, 772.0), (898.0, 898.0), (45.0, 549.0), (708.0, 99.0), (573.0, 903.0), (98.0, 711.0), (897.0, 324.0), (837.0, 787.0), (938.0, 646.0), (758.0, 405.0), (684.0, 273.0), (436.0, 619.0), (901.0, 639.0)]",39,7,19431.22750052286
"[(213.0, 639.0), (220.0, 307.0), (549.0, 329.0), (101.0, 482.0), (189.0, 739.0), (436.0, 619.0), (493.0, 970.0), (528.0, 794.0), (2.0, 897.0), (98.0, 711.0), (875.0, 407.0), (501.0, 287.0), (643.0, 404.0), (708.0, 99.0), (602.0, 68.0), (921.0, 964.0), (761.0, 772.0), (929.0, 389.0), (908.0, 534.0), (897.0, 324.0), (837.0, 787.0), (898.0, 898.0), (704.0, 995.0), (494.0, 898.0), (684.0, 273.0), (371.0, 429.0), (116.0, 69.0), (273.0, 105.0), (345.0, 560.0), (901.0, 639.0), (774.0, 130.0), (508.0, 31.0), (45.0, 549.0), (724.0, 631.0), (444.0, 428.0), (330.0, 410.0), (437.0, 601.0), (278.0, 434.0), (730.0, 742.0), (628.0, 311.0), (964.0, 726.0), (573.0, 903.0), (951.0, 209.0), (796.0, 310.0), (862.0, 361.0), (938.0, 646.0), (3.0, 517.0), (328.0, 489.0), (276.0, 666.0), (758.0, 405.0)]",44,8,19441.53200420609
"[(371.0, 429.0), (684.0, 273.0), (921.0, 964.0), (704.0, 995.0), (929.0, 389.0), (897.0, 324.0), (708.0, 99.0), (724.0, 631.0), (730.0, 742.0), (628.0, 311.0), (437.0, 601.0), (278.0, 434.0), (549.0, 329.0), (101.0, 482.0), (189.0, 739.0), (436.0, 619.0), (493.0, 970.0), (528.0, 794.0), (2.0, 897.0), (98.0, 711.0), (45.0, 549.0), (862.0, 361.0), (837.0, 787.0), (501.0, 287.0), (875.0, 407.0), (758.0, 405.0), (964.0, 726.0), (3.0, 517.0), (273.0, 105.0), (330.0, 410.0), (276.0, 666.0), (508.0, 31.0), (220.0, 307.0), (444.0, 428.0), (938.0, 646.0), (328.0, 489.0), (116.0, 69.0), (602.0, 68.0), (213.0, 639.0), (345.0, 560.0), (573.0, 903.0), (494.0, 898.0), (908.0, 534.0), (643.0, 404.0), (796.0, 310.0), (951.0, 209.0), (774.0, 130.0), (761.0, 772.0), (901.0, 639.0), (898.0, 898.0)]",27,9,19544.882838676902
"[(213.0, 639.0), (708.0, 99.0), (436.0, 619.0), (528.0, 794.0), (704.0, 995.0), (901.0, 639.0), (328.0, 489.0), (278.0, 434.0), (921.0, 964.0), (837.0, 787.0), (951.0, 209.0), (684.0, 273.0), (189.0, 739.0), (2.0, 897.0), (3.0, 517.0), (45.0, 549.0), (938.0, 646.0), (730.0, 742.0), (573.0, 903.0), (493.0, 970.0), (643.0, 404.0), (724.0, 631.0), (508.0, 31.0), (330.0, 410.0), (276.0, 666.0), (494.0, 898.0), (929.0, 389.0), (862.0, 361.0), (796.0, 310.0), (897.0, 324.0), (628.0, 311.0), (501.0, 287.0), (774.0, 130.0), (908.0, 534.0), (761.0, 772.0), (101.0, 482.0), (444.0, 428.0), (371.0, 429.0), (758.0, 405.0), (898.0, 898.0), (964.0, 726.0), (220.0, 307.0), (273.0, 105.0), (345.0, 560.0), (98.0, 711.0), (549.0, 329.0), (602.0, 68.0), (116.0, 69.0), (437.0, 601.0), (875.0, 407.0)]",39,10,19561.52459127404
